app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
205100,Dishonored,33594,32643,0.9716913734595464,Dishonored,PC,91.0,29.0,https://www.metacritic.com/game/dishonored/critic-reviews/?platform=pc,0.91,0.06169137345954634
413410,Danganronpa: Trigger Happy Havoc,10013,9724,0.9711375212224108,Danganronpa: Trigger Happy Havoc,PC,80.0,55.0,https://www.metacritic.com/game/danganronpa-trigger-happy-havoc/critic-reviews/?platform=pc,0.8,0.17113752122241077
219150,Hotline Miami,31172,30256,0.9706146541768254,Hotline Miami,PC,85.0,51.0,https://www.metacritic.com/game/hotline-miami/critic-reviews/?platform=pc,0.85,0.12061465417682538
213670,South Park™: The Stick of Truth™,23239,22549,0.9703085330694092,South Park: The Stick of Truth,PC,85.0,48.0,https://www.metacritic.com/game/south-park-the-stick-of-truth/critic-reviews/?platform=pc,0.85,0.12030853306940925
447530,VA-11 Hall-A: Cyberpunk Bartender Action,9417,9134,0.9699479664436658,VA-11 Hall-A: Cyberpunk Bartender Action,PC,77.0,21.0,https://www.metacritic.com/game/va-11-hall-a-cyberpunk-bartender-action/critic-reviews/?platform=pc,0.77,0.19994796644366575
1057090,Ori and the Will of the Wisps,14417,13980,0.9696885621141708,Ori and the Will of the Wisps,PC,88.0,46.0,https://www.metacritic.com/game/ori-and-the-will-of-the-wisps/critic-reviews/?platform=pc,0.88,0.08968856211417076
214560,Mark of the Ninja,9245,8961,0.9692806922660898,Mark of the Ninja,PC,91.0,14.0,https://www.metacritic.com/game/mark-of-the-ninja/critic-reviews/?platform=pc,0.91,0.059280692266089785
367520,Hollow Knight,109538,106166,0.9692161624276506,Hollow Knight,PC,87.0,27.0,https://www.metacritic.com/game/hollow-knight/critic-reviews/?platform=pc,0.87,0.09921616242765063
698780,Doki Doki Literature Club,89504,86718,0.9688728995352164,Doki Doki Literature Club!,PC,78.0,7.0,https://www.metacritic.com/game/doki-doki-literature-club/critic-reviews/?platform=pc,0.78,0.18887289953521635
219740,Don't Starve,33978,32883,0.9677732650538584,Don't Starve,PC,79.0,33.0,https://www.metacritic.com/game/dont-starve/critic-reviews/?platform=pc,0.79,0.17777326505385838
239030,"Papers, Please",24075,23242,0.9653997923156802,"Papers, Please",PC,85.0,40.0,https://www.metacritic.com/game/papers-please/critic-reviews/?platform=pc,0.85,0.1153997923156802
274190,Broforce,19588,18908,0.965284868286706,Broforce,PC,83.0,32.0,https://www.metacritic.com/game/broforce/critic-reviews/?platform=pc,0.83,0.13528486828670605
620980,Beat Saber,35767,34523,0.9652193362596808,Beat Saber,PC,93.0,10.0,https://www.metacritic.com/game/beat-saber/critic-reviews/?platform=pc,0.93,0.03521933625968077
555220,Detention,2046,1974,0.9648093841642228,Detention,PC,83.0,19.0,https://www.metacritic.com/game/detention/critic-reviews/?platform=pc,0.83,0.13480938416422283
70,Half-Life,28452,27418,0.963658090819626,Half-Life,PC,96.0,24.0,https://www.metacritic.com/game/half-life/critic-reviews/?platform=pc,0.96,0.003658090819625981
