app_id,app_name,total_reviews,total_positive,steam_consensus
1229490,ULTRAKILL,4770,4750,0.9958071278825996
1145360,Hades,65785,65197,0.9910617922018697
1291340,Townscaper,4469,4429,0.9910494517789215
1089980,The Henry Stickmin Collection,15158,15009,0.9901702071513392
1055540,A Short Hike,4203,4161,0.9900071377587437
427520,Factorio,68492,67804,0.9899550312445249
1118200,People Playground,17100,16905,0.9885964912280701
413150,Stardew Valley,172698,170724,0.9885696418024529
620,Portal 2,107466,106237,0.9885638248376231
546560,Half-Life: Alyx,37910,37400,0.9865470852017937
341800,Keep Talking and Nobody Explodes,5946,5863,0.9860410359905819
431960,Wallpaper Engine,80986,79723,0.984404711925518
294100,RimWorld,59579,58633,0.984121922153779
519860,DUSK,9274,9124,0.9838257494069441
858210,Nova Drift,2499,2458,0.98359343737495
611760,Don't Escape: 4 Days to Survive,767,754,0.9830508474576272
1170880,Grimm's Hollow,3102,3049,0.9829142488716957
264200,One Finger Death Punch,11036,10843,0.9825117796303008
253230,A Hat in Time,24944,24505,0.9824005772931367
787480,Phoenix Wright: Ace Attorney Trilogy,2981,2928,0.9822207312982221
736260,Baba Is You,6960,6831,0.9814655172413793
508440,Totally Accurate Battle Simulator,32375,31772,0.9813745173745174
420530,OneShot,11350,11137,0.9812334801762115
105600,Terraria,370240,362988,0.9804127052722559
250900,The Binding of Isaac: Rebirth,57771,56633,0.9803015353724187
646570,Slay the Spire,41684,40861,0.9802562134152193
531510,Just Shapes & Beats,5026,4923,0.9795065658575408
1289310,Helltaker,36351,35597,0.9792577920827488
1113000,Persona 4 Golden,28105,27522,0.9792563600782779
337340,Finding Paradise,3805,3726,0.9792378449408673
739630,Phasmophobia,129630,126705,0.9774357787549178
292030,The Witcher 3: Wild Hunt,151460,147933,0.9767133236498086
48700,Mount & Blade: Warband,57618,56270,0.9766045333055642
433340,Slime Rancher,34562,33749,0.9764770557259418
504230,Celeste,14863,14512,0.9763843100316222
425580,The Room Two,5783,5646,0.9763098737679405
526870,Satisfactory,25227,24612,0.9756213580687358
206190,Gunpoint,9340,9112,0.9755888650963598
227300,Euro Truck Simulator 2,81776,79739,0.9750904910976326
250320,The Wolf Among Us,15251,14871,0.9750836010753393
413420,Danganronpa 2: Goodbye Despair,7347,7158,0.9742752143732135
1144400,Senren＊Banka,271,264,0.974169741697417
883710,Resident Evil 2,31904,31070,0.9738590772316951
548430,Deep Rock Galactic,47002,45773,0.9738521765031275
1240210,There Is No Game: Wrong Dimension,2973,2895,0.9737638748738647
238460,BattleBlock Theater,24711,24057,0.9735340536603132
288160,The Room,8052,7828,0.972180824639841
32470,STAR WARS™ Empire at War: Gold Pack,14627,14217,0.971969645176728
205100,Dishonored,33594,32643,0.9716913734595464
413410,Danganronpa: Trigger Happy Havoc,10013,9724,0.9711375212224108
219150,Hotline Miami,31172,30256,0.9706146541768254
213670,South Park™: The Stick of Truth™,23239,22549,0.9703085330694092
447530,VA-11 Hall-A: Cyberpunk Bartender Action,9417,9134,0.9699479664436658
1057090,Ori and the Will of the Wisps,14417,13980,0.9696885621141708
214560,Mark of the Ninja,9245,8961,0.9692806922660898
367520,Hollow Knight,109538,106166,0.9692161624276506
698780,Doki Doki Literature Club,89504,86718,0.9688728995352163
221640,Super Hexagon,14869,14398,0.9683233573205999
219740,Don't Starve,33978,32883,0.9677732650538584
4000,Garry's Mod,331621,320509,0.9664918687296643
512900,Streets of Rogue,6970,6729,0.9654232424677188
239030,"Papers, Please",24075,23242,0.9653997923156802
274190,Broforce,19588,18908,0.9652848682867061
620980,Beat Saber,35767,34523,0.9652193362596807
636480,Ravenfield,19357,18683,0.9651805548380431
960090,Bloons TD 6,42070,40603,0.9651295459947706
555220,Detention,2046,1974,0.9648093841642229
207610,The Walking Dead,26267,25341,0.9647466402710626
286160,Tabletop Simulator,26525,25586,0.9645994344957587
250760,Shovel Knight: Treasure Trove,9830,9477,0.964089521871821
204360,Castle Crashers,31427,30298,0.9640754765010978
70,Half-Life,28452,27418,0.9636580908196261
588650,Dead Cells,21699,20906,0.9634545370754413
212680,FTL: Faster Than Light,43688,42084,0.9632851126167369
748490,The Legend of Heroes: Trails of Cold Steel II,1160,1117,0.9629310344827586
312530,Duck Game,13195,12705,0.9628647214854111
339800,HuniePop,20118,19370,0.9628193657421215
322330,Don't Starve Together,70020,67401,0.9625964010282776
270880,American Truck Simulator,35313,33975,0.9621102710050123
412830,STEINS;GATE,2335,2246,0.9618843683083512
420,Half-Life 2: Episode Two,11468,11024,0.961283571677712
206440,To the Moon,20886,20074,0.9611222828689074
284160,BeamNG.drive,36953,35511,0.9609774578518658
8930,Sid Meier's Civilization V,104257,100167,0.9607700202384493
945360,Among Us,295991,284307,0.9605258267987878
457140,Oxygen Not Included,24365,23402,0.9604760927560024
391540,Undertale,93756,90050,0.9604718631340927
435150,Divinity: Original Sin 2,58229,55858,0.9592814576929022
268910,Cuphead,32880,31519,0.9586070559610705
35140,Batman: Arkham Asylum GOTY Edition,14687,14075,0.9583304963573228
311690,Enter the Gungeon,27625,26466,0.9580452488687783
362890,Black Mesa,32851,31438,0.9569876107272229
638970,Yakuza 0,19181,18355,0.9569365517960482
240,Counter-Strike: Source,43218,41351,0.956800407237725
264710,Subnautica,92479,88388,0.9557629299624779
683320,GRIS,13520,12911,0.9549556213017751
238320,Outlast,22991,21945,0.954503936322909
113200,The Binding of Isaac,26259,25054,0.9541109714764462
502800,SENRAN KAGURA ESTIVAL VERSUS,1119,1067,0.9535299374441466
825630,STEINS;GATE 0,775,738,0.952258064516129
743450,Monster Prom,6112,5820,0.9522251308900523
379720,DOOM,81046,77095,0.951249907459961
55230,Saints Row: The Third,23661,22460,0.9492413676514095
221380,Age of Empires II (2013),38209,36249,0.948703185113455
477160,Human: Fall Flat,24684,23409,0.9483471074380165
242760,The Forest,93688,88582,0.9454999573050977
203160,Tomb Raider,55360,52342,0.9454841040462427
621060,PC Building Simulator,13952,13191,0.9454558486238532
40800,Super Meat Boy,14414,13607,0.9440127653670043
728880,Overcooked! 2,6747,6366,0.9435304579813251
233860,Kenshi,23235,21893,0.9422423068646438
481510,Night in the Woods,8419,7919,0.94061052381518
1158310,Crusader Kings III,21903,20596,0.9403278089759394
594570,Total War: WARHAMMER II,47822,44952,0.9399857806030697
8870,BioShock Infinite,50275,47242,0.9396718050721035
200900,Cave Story+,4805,4506,0.9377731529656608
590380,Into the Breach,7902,7404,0.9369779802581625
291860,Pit People,4162,3899,0.9368092263334935
322110,20XX,2593,2429,0.9367527959892017
239140,Dying Light,62179,58240,0.9366506376750993
666140,My Time At Portia,10831,10141,0.9362939710091405
428550,Momodora: Reverie Under the Moonlight,3689,3433,0.9306044998644619
418370,Resident Evil 7 Biohazard,13839,12877,0.9304863068140762
673950,Farm Together,3478,3236,0.9304197814836113
644560,Mirror,6245,5804,0.9293835068054443
332200,Axiom Verge,3052,2835,0.9288990825688074
609320,FAR: Lone Sails,3834,3556,0.927490871152843
72850,The Elder Scrolls V: Skyrim,160233,148583,0.9272933790168068
374320,DARK SOULS™ III,88860,82398,0.9272788656313302
569860,Thimbleweed Park,1815,1682,0.9267217630853994
814380,Sekiro™: Shadows Die Twice,34196,31689,0.9266873318516785
648800,Raft,40896,37887,0.9264231220657277
673880,"Warhammer 40,000: Mechanicus",5159,4776,0.9257608063578213
429660,Tales of Berseria,5367,4958,0.9237935531954538
255710,Cities: Skylines,70066,64724,0.9237575999771643
1190460,DEATH STRANDING,17137,15826,0.9234988621112213
391220,Rise of the Tomb Raider,24712,22651,0.9165992230495306
787860,Farming Simulator 19,14603,13385,0.9165924809970554
323190,Frostpunk,22463,20584,0.9163513333036549
535930,Two Point Hospital,11266,10308,0.9149653825670158
731490,Crash Bandicoot™ N. Sane Trilogy,5449,4982,0.9142962011378235
631510,Devil May Cry HD Collection,1439,1315,0.9138290479499652
275390,Guacamelee! Super Turbo Championship Edition,2203,2013,0.9137539718565593
445220,Avorion,5056,4615,0.9127768987341772
424840,Little Nightmares,8895,8117,0.9125351320966836
417290,Ghost of a Tale,1662,1515,0.9115523465703971
613100,House Flipper,18949,17271,0.9114465143279329
583470,The End Is Nigh,1189,1083,0.9108494533221194
394360,Hearts of Iron IV,61009,55549,0.9105050074579161
753420,Dungreed,1238,1126,0.9095315024232633
585420,Trailmakers,3840,3491,0.9091145833333333
107410,Arma 3,89777,81502,0.9078271717700525
357190,Ultimate Marvel vs. Capcom 3,1693,1530,0.9037212049616066
262060,Darkest Dungeon®,40521,36596,0.903136645196318
678950,DRAGON BALL FighterZ,16864,15220,0.9025142314990512
546050,Puyo Puyo™Tetris® ,2070,1865,0.9009661835748792
863550,HITMAN™ 2,21930,19754,0.9007751937984496
812140,Assassin's Creed Odyssey,31672,28506,0.9000378883556454
242920,Banished,23568,21195,0.8993126272912424
283640,Salt and Sanctuary,4772,4288,0.8985750209555742
269950,X-Plane 11,5029,4518,0.8983893418174588
582010,Monster Hunter: World,97809,87842,0.8980973121082927
677120,Heroes of Hammerwatch,3351,3008,0.8976424947776783
493340,Planet Coaster,22606,20288,0.8974608511014774
527230,For The King,6895,6186,0.8971718636693256
359550,Tom Clancy's Rainbow Six Siege,371154,332894,0.8969161049052415
524220,NieR:Automata™,34564,31000,0.8968869343825946
760060,Mutant Year Zero: Road to Eden,8482,7600,0.8960150907804763
252950,Rocket League,248720,221834,0.891902541009971
782330,DOOM Eternal,72323,64468,0.8913900142416659
595520,FINAL FANTASY XII THE ZODIAC AGE,2553,2274,0.8907168037602821
1222700,A Way Out,4398,3915,0.8901773533424284
489830,The Elder Scrolls V: Skyrim Special Edition,84628,75127,0.8877321926549133
39210,FINAL FANTASY XIV Online,22989,20376,0.8863369437557093
312660,Sniper Elite 4,8926,7890,0.8839345731570692
899440,GOD EATER 3,1842,1627,0.8832790445168295
872790,Football Manager 2019,4005,3512,0.8769038701622971
732810,Slipstream,834,731,0.8764988009592326
560130,Pillars of Eternity II: Deadfire,6472,5668,0.8757725587144622
537800,Bomber Crew,4783,4187,0.8753920133807234
281990,Stellaris,54232,47307,0.8723078625165954
571740,Golf It!,6345,5530,0.8715524034672971
857980,Void Bastards,2556,2225,0.8705007824726134
236850,Europa Universalis IV,45587,39657,0.8699190558711913
619290,Out of the Park Baseball 19,572,496,0.8671328671328671
690830,Foundation,3665,3174,0.8660300136425648
704850,Thief Simulator,3592,3109,0.8655345211581291
701160,Kingdom Two Crowns,2818,2438,0.865152590489709
252490,Rust,283777,244971,0.8632517786853762
753650,Due Process,2705,2333,0.8624768946395563
466560,Northgard,14811,12774,0.8624670852744581
779340,Total War: THREE KINGDOMS,16073,13861,0.8623779008274747
47890,The Sims(TM) 3,14464,12458,0.8613108407079646
758190,Dragon Cliff 龙崖,714,614,0.8599439775910365
541210,Cold Waters,2072,1779,0.8585907335907336
552500,Warhammer: Vermintide 2,30851,26438,0.8569576350847622
570940,DARK SOULS™: REMASTERED,17685,15145,0.8563754594288946
518790,theHunter: Call of the Wild™,23396,20029,0.8560865105146179
393520,Iconoclasts,1492,1275,0.8545576407506702
268500,XCOM 2,36540,31173,0.85311986863711
688130,Pogostuck: Rage With Your Friends,1560,1328,0.8512820512820513
420290,Blackwake,10917,9267,0.848859576806815
447820,Day of Infamy,11086,9402,0.8480966985386974
823130,Totally Accurate Battlegrounds,20689,17543,0.8479385180530716
581320,Insurgency: Sandstorm,38229,32334,0.8457976928509771
613830,CHRONO TRIGGER,2317,1955,0.843763487268019
629760,MORDHAU,54515,45990,0.8436210217371366
356190,Middle-earth™: Shadow of War™,22840,19225,0.8417250437828371
589360,Ni no Kuni™ II: Revenant Kingdom,3778,3173,0.839862361037586
385560,Shadow Complex Remastered,385,323,0.8389610389610389
218620,PAYDAY 2,187096,156574,0.836864497370334
582160,Assassin's Creed Origins,17832,14918,0.8365859129654554
626690,Sword Art Online: Fatal Bullet,4362,3646,0.8358551123337918
632350,Cyberdimension Neptunia: 4 Goddesses Online,1282,1071,0.8354134165366615
648350,Jurassic World Evolution,18588,15524,0.8351624704110179
