Title,Platform,Metascore,NumberOfCriticReviews,url
Mount & Blade: Warband,PC,78.0,23.0,https://www.metacritic.com/game/mount-blade-warband/
Mutant Year Zero: Road to Eden,PC,78.0,57.0,https://www.metacritic.com/game/mutant-year-zero-road-to-eden/
My Time At Portia,PC,73.0,37.0,https://www.metacritic.com/game/my-time-at-portia/
NBA 2K18,PC,80.0,54.0,https://www.metacritic.com/game/nba-2k18/
NBA 2K19,PC,82.0,49.0,https://www.metacritic.com/game/nba-2k19/
NBA 2K21,PC,68.0,50.0,https://www.metacritic.com/game/nba-2k21/
Nether,PC,57.0,7.0,https://www.metacritic.com/game/nether/
Ni no Kuni II: Revenant Kingdom,PC,84.0,84.0,https://www.metacritic.com/game/ni-no-kuni-ii-revenant-kingdom/
Night in the Woods,PC,88.0,30.0,https://www.metacritic.com/game/night-in-the-woods/
Nioh: Complete Edition,PC,84.0,23.0,https://www.metacritic.com/game/nioh-complete-edition/
No Man's Sky,PC,71.0,96.0,https://www.metacritic.com/game/no-mans-sky/
Northgard,PC,81.0,14.0,https://www.metacritic.com/game/northgard/
OneShot,PC,80.0,8.0,https://www.metacritic.com/game/oneshot/
Ori and the Will of the Wisps,PC,90.0,71.0,https://www.metacritic.com/game/ori-and-the-will-of-the-wisps/
Outlast,PC,80.0,59.0,https://www.metacritic.com/game/outlast/
Overcooked! 2,PC,81.0,38.0,https://www.metacritic.com/game/overcooked-2/
Oxygen Not Included,PC,85.0,5.0,https://www.metacritic.com/game/oxygen-not-included/
"Papers, Please",PC,85.0,40.0,https://www.metacritic.com/game/papers-please/
Pathfinder: Kingmaker,PC,73.0,33.0,https://www.metacritic.com/game/pathfinder-kingmaker/
Payday 2,PC,79.0,51.0,https://www.metacritic.com/game/payday-2/
Persona 4 Golden,PC,93.0,61.0,https://www.metacritic.com/game/persona-4-golden/
Phasmophobia,PC,76.0,9.0,https://www.metacritic.com/game/phasmophobia/
Phoenix Wright: Ace Attorney Trilogy,PC,81.0,34.0,https://www.metacritic.com/game/phoenix-wright-ace-attorney-trilogy/
Pillars of Eternity II: Deadfire,PC,88.0,71.0,https://www.metacritic.com/game/pillars-of-eternity-ii-deadfire/
Pit People,PC,78.0,15.0,https://www.metacritic.com/game/pit-people/
PixARK,PC,38.0,5.0,https://www.metacritic.com/game/pixark/
Planet Coaster,PC,84.0,57.0,https://www.metacritic.com/game/planet-coaster/
PlayerUnknown's Battlegrounds,PC,86.0,46.0,https://www.metacritic.com/game/playerunknowns-battlegrounds/
Portal 2,PC,95.0,66.0,https://www.metacritic.com/game/portal-2/
Railway Empire,PC,74.0,21.0,https://www.metacritic.com/game/railway-empire/
Resident Evil 2,PC,91.0,85.0,https://www.metacritic.com/game/resident-evil-2/
Resident Evil 7: biohazard,PC,86.0,100.0,https://www.metacritic.com/game/resident-evil-7-biohazard/
RimWorld,PC,87.0,8.0,https://www.metacritic.com/game/rimworld/
Rise of Industry,PC,62.0,12.0,https://www.metacritic.com/game/rise-of-industry/
Rise of the Tomb Raider,PC,86.0,102.0,https://www.metacritic.com/game/rise-of-the-tomb-raider/
Rocket League,PC,85.0,50.0,https://www.metacritic.com/game/rocket-league/
RollerCoaster Tycoon World,PC,43.0,7.0,https://www.metacritic.com/game/rollercoaster-tycoon-world/
Rust,PC,69.0,11.0,https://www.metacritic.com/game/rust/
Saints Row: The Third,PC,84.0,70.0,https://www.metacritic.com/game/saints-row-the-third/
Salt and Sanctuary,PC,84.0,56.0,https://www.metacritic.com/game/salt-and-sanctuary/
Satisfactory,PC,91.0,18.0,https://www.metacritic.com/game/satisfactory/
Secret of Mana,PC,80.0,8.0,https://www.metacritic.com/game/secret-of-mana/
Sekiro: Shadows Die Twice,PC,90.0,77.0,https://www.metacritic.com/game/sekiro-shadows-die-twice/
Senran Kagura: Estival Versus,PC,67.0,25.0,https://www.metacritic.com/game/senran-kagura-estival-versus/
Senran Kagura: Peach Beach Splash,PC,70.0,25.0,https://www.metacritic.com/game/senran-kagura-peach-beach-splash/
Shadow Complex Remastered,PC,74.0,14.0,https://www.metacritic.com/game/shadow-complex-remastered/
Shovel Knight: Treasure Trove,PC,91.0,17.0,https://www.metacritic.com/game/shovel-knight-treasure-trove/
Sid Meier's Civilization V,PC,90.0,70.0,https://www.metacritic.com/game/sid-meiers-civilization-v/
Sid Meier's Civilization VI,PC,88.0,84.0,https://www.metacritic.com/game/sid-meiers-civilization-vi/
Slay the Spire,PC,89.0,24.0,https://www.metacritic.com/game/slay-the-spire/
Slime Rancher,PC,81.0,9.0,https://www.metacritic.com/game/slime-rancher/
Sniper Elite 4,PC,77.0,55.0,https://www.metacritic.com/game/sniper-elite-4/
SoulCalibur VI,PC,84.0,78.0,https://www.metacritic.com/game/soulcalibur-vi/
South Park: The Stick of Truth,PC,85.0,48.0,https://www.metacritic.com/game/south-park-the-stick-of-truth/
Stardew Valley,PC,89.0,30.0,https://www.metacritic.com/game/stardew-valley/
Staxel,PC,61.0,7.0,https://www.metacritic.com/game/staxel/
Steel Division: Normandy 44,PC,83.0,24.0,https://www.metacritic.com/game/steel-division-normandy-44/
Steins;Gate,PC,83.0,16.0,https://www.metacritic.com/game/steinsgate/
Steins;Gate 0,PC,81.0,20.0,https://www.metacritic.com/game/steinsgate-0/
Stellaris,PC,78.0,57.0,https://www.metacritic.com/game/stellaris/
Streets of Rogue,PC,82.0,5.0,https://www.metacritic.com/game/streets-of-rogue/
Styx: Shards of Darkness,PC,72.0,38.0,https://www.metacritic.com/game/styx-shards-of-darkness/
Subnautica,PC,87.0,39.0,https://www.metacritic.com/game/subnautica/
Super Hexagon,PC,86.0,17.0,https://www.metacritic.com/game/super-hexagon/
Super Meat Boy,PC,90.0,51.0,https://www.metacritic.com/game/super-meat-boy/
Surviving Mars,PC,76.0,39.0,https://www.metacritic.com/game/surviving-mars/
Sword Art Online: Fatal Bullet,PC,64.0,42.0,https://www.metacritic.com/game/sword-art-online-fatal-bullet/
Takedown: Red Sabre,PC,34.0,17.0,https://www.metacritic.com/game/takedown-red-sabre/
Tales of Berseria,PC,79.0,57.0,https://www.metacritic.com/game/tales-of-berseria/
Terraria,PC,81.0,39.0,https://www.metacritic.com/game/terraria/
The Binding of Isaac,PC,84.0,30.0,https://www.metacritic.com/game/the-binding-of-isaac/
The Binding of Isaac: Rebirth,PC,88.0,15.0,https://www.metacritic.com/game/the-binding-of-isaac-rebirth/
The Crew 2,PC,64.0,53.0,https://www.metacritic.com/game/the-crew-2/
The Elder Scrolls Online,PC,71.0,64.0,https://www.metacritic.com/game/the-elder-scrolls-online/
The Elder Scrolls V: Skyrim,PC,96.0,89.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/
The Elder Scrolls V: Skyrim Special Edition,PC,84.0,63.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim-special-edition/
The End Is Nigh,PC,84.0,15.0,https://www.metacritic.com/game/the-end-is-nigh/
The Legend of Heroes: Trails of Cold Steel II,PC,80.0,26.0,https://www.metacritic.com/game/the-legend-of-heroes-trails-of-cold-steel-ii/
The Room,PC,75.0,22.0,https://www.metacritic.com/game/the-room/
The Room Two,PC,88.0,25.0,https://www.metacritic.com/game/the-room-two/
The Walking Dead: Survival Instinct,PC,32.0,30.0,https://www.metacritic.com/game/the-walking-dead/
The Wild Eight,PC,63.0,4.0,https://www.metacritic.com/game/the-wild-eight/
The Witcher 3: Wild Hunt,PC,92.0,79.0,https://www.metacritic.com/game/the-witcher-3-wild-hunt/
The Wolf Among Us,PC,80.0,13.0,https://www.metacritic.com/game/the-wolf-among-us/
There is no game : Wrong dimension,PC,87.0,10.0,https://www.metacritic.com/game/there-is-no-game-wrong-dimension/
They Are Billions,PC,72.0,19.0,https://www.metacritic.com/game/they-are-billions/
Thimbleweed Park,PC,84.0,59.0,https://www.metacritic.com/game/thimbleweed-park/
Titan Souls,PC,74.0,46.0,https://www.metacritic.com/game/titan-souls/
To the Moon,PC,81.0,26.0,https://www.metacritic.com/game/to-the-moon/
Tom Clancy's Ghost Recon: Wildlands,PC,70.0,64.0,https://www.metacritic.com/game/tom-clancys-ghost-recon-wildlands/
Tom Clancy's Rainbow Six Siege,PC,73.0,40.0,https://www.metacritic.com/game/tom-clancys-rainbow-six-siege/
Tomb Raider,PC,86.0,70.0,https://www.metacritic.com/game/tomb-raider/
Torment: Tides of Numenera,PC,81.0,72.0,https://www.metacritic.com/game/torment-tides-of-numenera/
Total War: Three Kingdoms,PC,85.0,64.0,https://www.metacritic.com/game/total-war-three-kingdoms/
Total War: WARHAMMER,PC,86.0,77.0,https://www.metacritic.com/game/total-war-warhammer/
Total War: WARHAMMER II,PC,87.0,69.0,https://www.metacritic.com/game/total-war-warhammer-ii/
Toukiden 2,PC,77.0,46.0,https://www.metacritic.com/game/toukiden-2/
Townscaper,PC,63.0,6.0,https://www.metacritic.com/game/townscaper/
Two Point Hospital,PC,83.0,55.0,https://www.metacritic.com/game/two-point-hospital/
Ultimate Marvel vs. Capcom 3,PC,80.0,48.0,https://www.metacritic.com/game/ultimate-marvel-vs-capcom-3/
Umbrella Corps,PC,38.0,55.0,https://www.metacritic.com/game/umbrella-corps/
Undertale,PC,92.0,43.0,https://www.metacritic.com/game/undertale/
Urban Empire,PC,62.0,20.0,https://www.metacritic.com/game/urban-empire/
Vampyr,PC,70.0,67.0,https://www.metacritic.com/game/vampyr/
Void Bastards,PC,81.0,27.0,https://www.metacritic.com/game/void-bastards/
Volgarr the Viking,PC,76.0,9.0,https://www.metacritic.com/game/volgarr-the-viking/
WWE 2K17,PC,69.0,52.0,https://www.metacritic.com/game/wwe-2k17/
WWE 2K19,PC,76.0,44.0,https://www.metacritic.com/game/wwe-2k19/
WWE 2K20,PC,43.0,29.0,https://www.metacritic.com/game/wwe-2k20/
"Warhammer 40,000: Dawn of War III",PC,77.0,76.0,https://www.metacritic.com/game/warhammer-40000-dawn-of-war-iii/
"Warhammer 40,000: Mechanicus",PC,78.0,19.0,https://www.metacritic.com/game/warhammer-40000-mechanicus/
Warhammer: Vermintide 2,PC,82.0,54.0,https://www.metacritic.com/game/warhammer-vermintide-2/
We Were Here Too,PC,69.0,7.0,https://www.metacritic.com/game/we-were-here-too/
Wolfenstein: Youngblood,PC,69.0,50.0,https://www.metacritic.com/game/wolfenstein-youngblood/
X Rebirth,PC,33.0,24.0,https://www.metacritic.com/game/x-rebirth/
XCOM 2,PC,88.0,104.0,https://www.metacritic.com/game/xcom-2/
Yakuza 0,PC,85.0,87.0,https://www.metacritic.com/game/yakuza-0/
Youtubers Life,PC,63.0,5.0,https://www.metacritic.com/game/youtubers-life/
theHunter: Call of the Wild,PC,64.0,13.0,https://www.metacritic.com/game/thehunter-call-of-the-wild/
