Title,Platform,Metascore,NumberOfCriticReviews,url
Steins;Gate 0,PC,81.0,20.0,https://www.metacritic.com/game/steinsgate-0/
Monster Prom,PC,73.0,11.0,https://www.metacritic.com/game/monster-prom/
DOOM,PC,79.0,66.0,https://www.metacritic.com/game/doom/
Saints Row: The Third,PC,84.0,70.0,https://www.metacritic.com/game/saints-row-the-third/
Human: Fall Flat,PC,70.0,21.0,https://www.metacritic.com/game/human-fall-flat/
Tomb Raider,PC,86.0,70.0,https://www.metacritic.com/game/tomb-raider/
Super Meat Boy,PC,90.0,51.0,https://www.metacritic.com/game/super-meat-boy/
Overcooked! 2,PC,81.0,38.0,https://www.metacritic.com/game/overcooked-2/
Kenshi,PC,75.0,9.0,https://www.metacritic.com/game/kenshi/
Night in the Woods,PC,88.0,30.0,https://www.metacritic.com/game/night-in-the-woods/
Crusader Kings III,PC,91.0,61.0,https://www.metacritic.com/game/crusader-kings-iii/
Total War: WARHAMMER II,PC,87.0,69.0,https://www.metacritic.com/game/total-war-warhammer-ii/
BioShock Infinite,PC,94.0,68.0,https://www.metacritic.com/game/bioshock-infinite/
Cave Story,PC,89.0,25.0,https://www.metacritic.com/game/cave-story/
Into the Breach,PC,90.0,56.0,https://www.metacritic.com/game/into-the-breach/
Pit People,PC,78.0,15.0,https://www.metacritic.com/game/pit-people/
20XX,PC,77.0,14.0,https://www.metacritic.com/game/20xx/
Dying Light,PC,74.0,58.0,https://www.metacritic.com/game/dying-light/
My Time At Portia,PC,73.0,37.0,https://www.metacritic.com/game/my-time-at-portia/
Momodora: Reverie Under the Moonlight,PC,76.0,22.0,https://www.metacritic.com/game/momodora-reverie-under-the-moonlight/
Resident Evil 7: biohazard,PC,86.0,100.0,https://www.metacritic.com/game/resident-evil-7-biohazard/
Farm Together,PC,77.0,4.0,https://www.metacritic.com/game/farm-together/
Axiom Verge,PC,84.0,61.0,https://www.metacritic.com/game/axiom-verge/
FAR: Lone Sails,PC,80.0,24.0,https://www.metacritic.com/game/far-lone-sails/
The Elder Scrolls V: Skyrim,PC,96.0,89.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/
Dark Souls III,PC,89.0,69.0,https://www.metacritic.com/game/dark-souls-iii/
Thimbleweed Park,PC,84.0,59.0,https://www.metacritic.com/game/thimbleweed-park/
Sekiro: Shadows Die Twice,PC,90.0,77.0,https://www.metacritic.com/game/sekiro-shadows-die-twice/
"Warhammer 40,000: Mechanicus",PC,78.0,19.0,https://www.metacritic.com/game/warhammer-40000-mechanicus/
Tales of Berseria,PC,79.0,57.0,https://www.metacritic.com/game/tales-of-berseria/
Cities: Skylines,PC,85.0,60.0,https://www.metacritic.com/game/cities-skylines/
Death Stranding,PC,82.0,111.0,https://www.metacritic.com/game/death-stranding/
Rise of the Tomb Raider,PC,86.0,102.0,https://www.metacritic.com/game/rise-of-the-tomb-raider/
Farming Simulator 19,PC,73.0,16.0,https://www.metacritic.com/game/farming-simulator-19/
Frostpunk,PC,84.0,67.0,https://www.metacritic.com/game/frostpunk/
Two Point Hospital,PC,83.0,55.0,https://www.metacritic.com/game/two-point-hospital/
Crash Bandicoot N. Sane Trilogy,PC,80.0,85.0,https://www.metacritic.com/game/crash-bandicoot-n-sane-trilogy/
Devil May Cry HD Collection,PC,77.0,32.0,https://www.metacritic.com/game/devil-may-cry-hd-collection/
Guacamelee! Super Turbo Championship Edition,PC,87.0,30.0,https://www.metacritic.com/game/guacamelee-super-turbo-championship-edition/
Little Nightmares,PC,78.0,52.0,https://www.metacritic.com/game/little-nightmares/
Ghost of a Tale,PC,75.0,25.0,https://www.metacritic.com/game/ghost-of-a-tale/
House Flipper,PC,67.0,7.0,https://www.metacritic.com/game/house-flipper/
The End Is Nigh,PC,84.0,15.0,https://www.metacritic.com/game/the-end-is-nigh/
Hearts of Iron IV,PC,83.0,37.0,https://www.metacritic.com/game/hearts-of-iron-iv/
Arma 3,PC,74.0,38.0,https://www.metacritic.com/game/arma-3/
Ultimate Marvel vs. Capcom 3,PC,80.0,48.0,https://www.metacritic.com/game/ultimate-marvel-vs-capcom-3/
Darkest Dungeon,PC,84.0,56.0,https://www.metacritic.com/game/darkest-dungeon/
Dragon Ball FighterZ,PC,87.0,74.0,https://www.metacritic.com/game/dragon-ball-fighterz/
Hitman 2,PC,82.0,70.0,https://www.metacritic.com/game/hitman-2/
Assassin's Creed Odyssey,PC,83.0,86.0,https://www.metacritic.com/game/assassins-creed-odyssey/
Banished,PC,73.0,32.0,https://www.metacritic.com/game/banished/
Salt and Sanctuary,PC,84.0,56.0,https://www.metacritic.com/game/salt-and-sanctuary/
Monster Hunter: World,PC,90.0,93.0,https://www.metacritic.com/game/monster-hunter-world/
Planet Coaster,PC,84.0,57.0,https://www.metacritic.com/game/planet-coaster/
For the King,PC,79.0,12.0,https://www.metacritic.com/game/for-the-king/
Tom Clancy's Rainbow Six Siege,PC,73.0,40.0,https://www.metacritic.com/game/tom-clancys-rainbow-six-siege/
Mutant Year Zero: Road to Eden,PC,78.0,57.0,https://www.metacritic.com/game/mutant-year-zero-road-to-eden/
Rocket League,PC,85.0,50.0,https://www.metacritic.com/game/rocket-league/
DOOM Eternal,PC,88.0,61.0,https://www.metacritic.com/game/doom-eternal/
Final Fantasy XII: The Zodiac Age,PC,86.0,75.0,https://www.metacritic.com/game/final-fantasy-xii-the-zodiac-age/
A Way Out,PC,78.0,62.0,https://www.metacritic.com/game/a-way-out/
The Elder Scrolls V: Skyrim Special Edition,PC,84.0,63.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim-special-edition/
Final Fantasy XIV Online,PC,49.0,26.0,https://www.metacritic.com/game/final-fantasy-xiv-online/
Sniper Elite 4,PC,77.0,55.0,https://www.metacritic.com/game/sniper-elite-4/
God Eater 3,PC,71.0,60.0,https://www.metacritic.com/game/god-eater-3/
Football Manager 2019,PC,86.0,32.0,https://www.metacritic.com/game/football-manager-2019/
Pillars of Eternity II: Deadfire,PC,88.0,71.0,https://www.metacritic.com/game/pillars-of-eternity-ii-deadfire/
Bomber Crew,PC,75.0,11.0,https://www.metacritic.com/game/bomber-crew/
Stellaris,PC,78.0,57.0,https://www.metacritic.com/game/stellaris/
Void Bastards,PC,81.0,27.0,https://www.metacritic.com/game/void-bastards/
Europa Universalis IV,PC,87.0,34.0,https://www.metacritic.com/game/europa-universalis-iv/
Foundation,PC,84.0,5.0,https://www.metacritic.com/game/foundation/
Kingdom Two Crowns,PC,85.0,11.0,https://www.metacritic.com/game/kingdom-two-crowns/
Rust,PC,69.0,11.0,https://www.metacritic.com/game/rust/
Northgard,PC,81.0,14.0,https://www.metacritic.com/game/northgard/
Total War: Three Kingdoms,PC,85.0,64.0,https://www.metacritic.com/game/total-war-three-kingdoms/
Warhammer: Vermintide 2,PC,82.0,54.0,https://www.metacritic.com/game/warhammer-vermintide-2/
Dark Souls Remastered,PC,84.0,53.0,https://www.metacritic.com/game/dark-souls-remastered/
theHunter: Call of the Wild,PC,64.0,13.0,https://www.metacritic.com/game/thehunter-call-of-the-wild/
Iconoclasts,PC,83.0,23.0,https://www.metacritic.com/game/iconoclasts/
XCOM 2,PC,88.0,104.0,https://www.metacritic.com/game/xcom-2/
Day of Infamy,PC,77.0,10.0,https://www.metacritic.com/game/day-of-infamy/
Insurgency: Sandstorm,PC,78.0,30.0,https://www.metacritic.com/game/insurgency-sandstorm/
Chrono Trigger,PC,92.0,57.0,https://www.metacritic.com/game/chrono-trigger/
MORDHAU,PC,81.0,21.0,https://www.metacritic.com/game/mordhau/
Ni no Kuni II: Revenant Kingdom,PC,84.0,84.0,https://www.metacritic.com/game/ni-no-kuni-ii-revenant-kingdom/
Shadow Complex Remastered,PC,74.0,14.0,https://www.metacritic.com/game/shadow-complex-remastered/
Payday 2,PC,79.0,51.0,https://www.metacritic.com/game/payday-2/
Assassin's Creed Origins,PC,81.0,63.0,https://www.metacritic.com/game/assassins-creed-origins/
Sword Art Online: Fatal Bullet,PC,64.0,42.0,https://www.metacritic.com/game/sword-art-online-fatal-bullet/
