app_id,app_name,review_count,positive_reviews,negative_reviews,recommendation_rate,sampled_negative,sampled_positive
219150,Hotline Miami,31172,30256,916,97.06146541768254,150,150
214950,Total War: ROME II - Emperor Edition,31050,25063,5987,80.7181964573269,150,150
552500,Warhammer: Vermintide 2,30851,26438,4413,85.69576350847622,150,150
397540,Borderlands 3,30246,25241,5005,83.4523573365073,150,150
70,Half-Life,28452,27418,1034,96.36580908196261,150,150
1113000,Persona 4 Golden,28105,27522,583,97.92563600782779,150,150
311690,Enter the Gungeon,27625,26466,1159,95.80452488687783,150,150
286160,Tabletop Simulator,26525,25586,939,96.45994344957587,150,150
207610,The Walking Dead,26267,25341,926,96.47466402710626,150,150
113200,The Binding of Isaac,26259,25054,1205,95.41109714764461,150,150
364360,Total War: WARHAMMER,25269,20567,4702,81.39221971585738,150,150
526870,Satisfactory,25227,24612,615,97.56213580687358,150,150
253230,A Hat in Time,24944,24505,439,98.24005772931366,150,150
582660,Black Desert Online,24805,17849,6956,71.95726668010482,150,150
391220,Rise of the Tomb Raider,24712,22651,2061,91.65992230495306,150,150
238460,BattleBlock Theater,24711,24057,654,97.35340536603132,150,150
477160,Human: Fall Flat,24684,23409,1275,94.83471074380165,150,150
457140,Oxygen Not Included,24365,23402,963,96.04760927560025,150,150
239030,"Papers, Please",24075,23242,833,96.53997923156801,150,150
55230,Saints Row: The Third,23661,22460,1201,94.92413676514094,150,150
242920,Banished,23568,21195,2373,89.93126272912424,150,150
518790,theHunter: Call of the Wild™,23396,20029,3367,85.60865105146179,150,150
213670,South Park™: The Stick of Truth™,23239,22549,690,97.03085330694091,150,150
233860,Kenshi,23235,21893,1342,94.22423068646438,150,150
238320,Outlast,22991,21945,1046,95.4503936322909,150,150
39210,FINAL FANTASY XIV Online,22989,20376,2613,88.63369437557093,150,150
356190,Middle-earth™: Shadow of War™,22840,19225,3615,84.17250437828372,150,150
493340,Planet Coaster,22606,20288,2318,89.74608511014775,150,150
323190,Frostpunk,22463,20584,1879,91.63513333036549,150,150
863550,HITMAN™ 2,21930,19754,2176,90.07751937984496,150,150
1158310,Crusader Kings III,21903,20596,1307,94.03278089759394,150,150
588650,Dead Cells,21699,20906,793,96.34545370754412,150,150
206440,To the Moon,20886,20074,812,96.11222828689074,150,150
823130,Totally Accurate Battlegrounds,20689,17543,3146,84.79385180530717,150,150
339800,HuniePop,20118,19370,748,96.28193657421215,150,150
